T	c0	c1	c2low	c2	c3	c4	c5	c6	c7	c8	c9	c10	c10J_low	c10J	c11	c11J	c12	c13low	c13high	c14	c15	a2	h1	h2	h3	h4	h5	h6	k1	k2	k3	Phi_lnY	Tau_lnY	Phi_lnAF	Rho
0.4	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
0.5	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
0.75	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
1	-11.763	2.332	-0.616	-1.131	-0.667	-2.172	0.175	5.11	0.239	-0.226	0.627	1.385	2.575	2.658	0.239	0.534	0.596	-0.0036	0.0335	0.00224	0	0.596	0.117	1.616	-0.733	1	-0.128	-0.756	400	-1.955	1.929	0.599	0.32	0.3	0.534
1.5	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
2	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
3	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
4	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
5	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
7.5	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
10	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
0	-4.72	1.116	-0.343	-0.294	-0.93	-2.712	0.241	6.5	0.104	-0.3	0.729	1.041	2.13	1.555	0.0379	-0.224	0.44	0.0929	0.0287	0.00328	0	0.167	0.241	1.474	-0.715	1	-0.337	-0.271	865	-1.186	1.839	0.485	0.24	0.3	1
