PSHA Deaggregation: Marginal (M,f). site: SeattleD long: 122.300 W., lat: 47.650 N., Vs30(m/s): 259.      
NSHMP 2008  See USGS OFR 2008-1128. dM=0.2 below
Return periods:  4975 2475  975  475  224   72 yrs.
Exceedance PGA = 0.80576 0.66373 0.49248 0.37684 0.27187 0.14476 g.
Computed Rate_Exc  0.201E-03 0.402E-03 0.102E-02 0.209E-02 0.442E-02 0.136E-01, respectively.

#PGA g =  0.80576  computed rate .20129E-03 expected return  4975 years. 
#Relative_frq. M(Mw) R(km) eps0
#PGA g =  0.37684  computed rate .20950E-02 expected return   475 years. 
#Relative_frq. M(Mw) R(km) eps0
   0.021  5.10     16.5   1.439
   0.025  5.30     19.9   1.383
   0.029  5.50     24.3   1.360
   0.032  5.70     30.1   1.380
   0.037  5.90     36.8   1.397
   0.054  6.10     39.0   1.270
   0.066  6.30     44.8   1.218
   0.093  6.51     46.4   1.133
   0.125  6.70     49.4   1.041
   0.160  6.91     53.9   0.897
   0.187  7.11     61.2   0.746
   0.016  7.32     17.8   0.411
   0.003  7.53     19.0   0.557
   0.001  7.71     21.6   0.590
   0.000  7.87     23.0   0.538
   0.004  8.06    112.1   1.653
   0.009  8.27    112.3   1.435
   0.015  8.45    113.0   1.278
   0.017  8.65    114.7   1.127
   0.015  8.80    114.5   1.008
   0.065  9.00    111.3   0.809
   0.026  9.20    112.1   0.671

#PGA g =  0.27187  computed rate .44158E-02 expected return   224 years. 
#Relative_frq. M(Mw) R(km) eps0
   0.029  5.10     18.8   1.131
   0.033  5.30     22.4   1.088
   0.037  5.50     26.9   1.072
   0.039  5.70     32.6   1.091
   0.043  5.90     39.1   1.102
   0.059  6.10     41.7   0.959
   0.070  6.30     47.6   0.910
   0.095  6.51     49.1   0.792
   0.124  6.70     51.7   0.668
   0.149  6.91     56.4   0.513
   0.163  7.11     64.1   0.355
   0.014  7.32     20.8   0.000
   0.003  7.53     20.4   0.061
   0.001  7.71     23.1   0.089
   0.000  7.87     25.3   0.060
   0.005  8.05    116.9   1.222
   0.011  8.27    116.3   0.988
   0.015  8.45    117.1   0.834
   0.017  8.65    118.8   0.700
   0.014  8.80    117.4   0.576
   0.057  9.00    113.1   0.380
   0.021  9.20    113.8   0.248

#PGA g =  0.14476  computed rate .13632E-01 expected return    72 years. 
#Relative_frq. M(Mw) R(km) eps0
   0.047  5.10     24.5   0.651
   0.051  5.30     28.8   0.626
   0.054  5.50     33.7   0.609
   0.056  5.70     39.5   0.609
   0.059  5.90     45.8   0.597
   0.071  6.10     49.4   0.456
   0.079  6.30     55.1   0.383
   0.099  6.51     57.0   0.210
   0.116  6.70     59.5   0.022
   0.124  6.90     64.1  -0.168
   0.118  7.10     72.0  -0.353
   0.012  7.30     28.3  -0.880
   0.002  7.53     24.2  -0.908
   0.000  7.71     28.0  -0.866
   0.000  7.88     32.5  -0.845
   0.007  8.05    127.6   0.360
   0.011  8.27    125.9   0.105
   0.015  8.45    127.6  -0.038
   0.015  8.65    128.6  -0.159
   0.011  8.80    123.0  -0.311
   0.039  9.00    116.4  -0.509
   0.014  9.20    116.9  -0.624
